0,1,2,3,4,5,6,7,8,9,10,11,12
14,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.26,1.0
15,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.32,1.0
16,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.37,1.0
17,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.42,1.0
18,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.47,1.0
19,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.53,1.0
20,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.58,1.0
21,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.63,1.0
22,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.68,1.0
23,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.74,1.0
24,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.79,1.0
25,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.84,1.0
26,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.89,1.0
27,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.95,1.0
28,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,1.0,1.0
29,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.0
30,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.05
31,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.11
32,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.16
1,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.21
2,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.26
3,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.32
4,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.37
5,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.42
6,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.47
7,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.53
8,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.58
9,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.63
10,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.68
11,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.74
12,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.79
13,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.84
14,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.89
15,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,0.95
16,1.0,1.0,5e-05,1.0,0.25,1.0,0.92,1.0,1.0,0.04,0.003,1.0
